LOCATION,Year,,Value,,Growth,,To 2019
USA,1934,,0,,1,,18.88721917
USA,1935,,2.2,,1.022,,18.48064498
USA,1936,,1.5,,1.03733,,18.207532
USA,1937,,3.6,,1.07467388,,17.57483784
USA,1938,,-2.1,,1.052105729,,17.95182619
USA,1939,,-1.4,,1.037376248,,18.20672027
USA,1940,,0.7,,1.044637882,,18.08015916
USA,1941,,5,,1.096869776,,17.2191992
USA,1942,,10.9,,1.216428582,,15.52678016
USA,1943,,6.1,,1.290630725,,14.63410006
USA,1944,,1.7,,1.312571448,,14.38947891
USA,1945,,2.3,,1.342760591,,14.06596179
USA,1946,,8.3,,1.45420972,,12.98796103
USA,1947,,14.4,,1.66361592,,11.35311279
USA,1948,,8.1,,1.798368809,,10.50241701
USA,1949,,-1.2,,1.776788383,,10.62997673
USA,1950,,1.3,,1.799886632,,10.49356044
USA,1951,,7.9,,1.942077676,,9.725264545
USA,1952,,1.9,,1.978977152,,9.543929877
USA,1953,,0.8,,1.994808969,,9.468184402
USA,1954,,0.7,,2.008772632,,9.402367827
USA,1955,,-0.4,,2.000737542,,9.44012834
USA,1956,,1.525054,,2.03124987,,9.29832388
USA,1957,,3.341508,,2.099124246,,8.997666146
USA,1958,,2.729161,,2.156412727,,8.758629058
USA,1959,,1.010684,,2.178207245,,8.670992721
USA,1960,,1.457976,,2.209964984,,8.546388429
USA,1961,,1.070724,,2.233627609,,8.455849618
USA,1962,,1.198773,,2.260403734,,8.355683935
USA,1963,,1.239669,,2.288425259,,8.253369472
USA,1964,,1.278912,,2.317692204,,8.149149027
USA,1965,,1.585169,,2.354431542,,8.021986977
USA,1966,,3.015075,,2.425419419,,7.787197142
USA,1967,,2.772786,,2.492671109,,7.577100364
USA,1968,,4.271796,,2.599152934,,7.266682511
USA,1969,,5.462386,,2.7411287,,6.890307329
USA,1970,,5.838255,,2.901162783,,6.510223859
USA,1971,,4.292767,,3.025702942,,6.242258256
USA,1972,,3.272278,,3.124712353,,6.044466508
USA,1973,,6.17776,,3.317749583,,5.69278021
USA,1974,,11.0548,,3.684520164,,5.126100096
USA,1975,,9.143147,,4.021401259,,4.696676097
USA,1976,,5.744812,,4.252423201,,4.44151917
USA,1977,,6.501684,,4.52890232,,4.170374593
USA,1978,,7.630964,,4.874501226,,3.874697799
USA,1979,,11.25447,,5.423100504,,3.48273449
USA,1980,,13.5492,,6.157887237,,3.067158985
USA,1981,,10.33471,,6.794287025,,2.779867718
USA,1982,,6.131427,,7.210873774,,2.619269143
USA,1983,,3.212435,,7.442518407,,2.537745711
USA,1984,,4.300536,,7.762586591,,2.433108983
USA,1985,,3.545644,,8.037820276,,2.349793665
USA,1986,,1.898048,,8.190381963,,2.306024219
USA,1987,,3.664563,,8.49052367,,2.224505802
USA,1988,,4.077741,,8.836745235,,2.137350197
USA,1989,,4.827003,,9.263295193,,2.038930939
USA,1990,,5.397956,,9.763323791,,1.934507097
USA,1991,,4.234964,,10.17679704,,1.855909978
USA,1992,,3.02882,,10.4850339,,1.801350319
USA,1993,,2.951657,,10.79451614,,1.749705028
USA,1994,,2.607442,,11.07597689,,1.705241836
USA,1995,,2.80542,,11.38670456,,1.658708107
USA,1996,,2.931204,,11.7204721,,1.611472559
USA,1997,,2.33769,,11.9944604,,1.574661847
USA,1998,,1.552279,,12.18064789,,1.550592328
USA,1999,,2.188027,,12.44716376,,1.517391394
USA,2000,,3.376857,,12.86748668,,1.467825042
USA,2001,,2.826171,,13.23114385,,1.42748196
USA,2002,,1.586032,,13.44099403,,1.405195116
USA,2003,,2.270095,,13.74611736,,1.374003922
USA,2004,,2.677237,,14.1141335,,1.338177732
USA,2005,,3.392747,,14.59299034,,1.294266543
USA,2006,,3.225944,,15.06375204,,1.253819043
USA,2007,,2.852673,,15.49347163,,1.219043712
USA,2008,,3.8391,,16.0882815,,1.173973688
USA,2009,,-0.3555463,,16.03108021,,1.178162602
USA,2010,,1.640043,,16.29399682,,1.15915201
USA,2011,,3.156842,,16.80837255,,1.123679232
USA,2012,,2.069337,,17.15619442,,1.100897944
USA,2013,,1.464833,,17.40750402,,1.085004441
USA,2014,,1.622223,,17.68989256,,1.067684222
USA,2015,,0.1186271,,17.71087756,,1.06641916
USA,2016,,1.261583,,17.93431498,,1.053133013
USA,2017,,2.13011,,18.31633562,,1.031168
USA,2018,,2.4,,18.75592767,,1.007
USA,2019,,0.7,,18.88721917,,1
